MM,AM,BM,CM,MA,AA,BA,CA,MB,AB,BB,CB,MC,AC,BC,CC,DifA,DifB,DifC,DegA,DegB,DegC
0,0,0,0,7.075926142,0,0,0,-3.8237331,-9.632473727,0,4.746001072,6.630079358,2.68959176,0,0,0.0904188654,0.004804276992,0.04608744794,0.03046440234,0.05166644393,0.07817324929
0,0,0,0,8.913404358,0,0,0,0,-8.382356687,0,6.908138987,0,2.762962823,0,0,0.01640740865,0.00636381175,0.07701607786,0.03175363441,0.06912868666,0.08402518338
0,0,0,0,0,0,5.527393829,0,8.666632735,0,0,0,0,4.308243114,-7.89494038,0.314578383,0.08924937235,0.06580126753,0.004178454519,0.1225938763,0.06044327652,0.06733319958
0,0,0,0,0,0,6.310793487,0,9.096154533,0,0,0,0,2.951055403,-7.358441199,0,0.05032962534,0.02626320754,0.007774677109,0.08272171093,0.07153910089,0.04837755456
0,0,0,0,0,0,5.177233487,0,9.00006672,0,0,0,0,5.034185246,-7.530643282,0,0.05796705794,0.03013224115,0.02101202878,0.1233502526,0.05883469756,0.1204856976
0,0,0,0,-5.989911788,0,6.870109765,0,8.875230296,0,0,0,0,3.906795837,-7.666390811,0.8098768531,0.08343576974,0.03392016104,0.0003197247903,0.1180471235,0.06323190198,0.09407251917
0,0,0,0,-9.303020672,0,7.548205351,0,9.059547213,0,0,0,0,3.482104797,-8.276611012,0.9249999336,0.0105549813,0.05387186787,0.01027743653,0.08988802438,0.06023514014,0.1032113067
0,0,0,0,-9.957530795,0,6.928312627,0,9.750566586,0,0,0,0,3.588958084,-6.866508441,0,0.09945580361,0.05573165177,0.0127093507,0.08218444962,0.06381168592,0.04259253536
0,0,0,0,0,0,6.310793487,0,9.591371765,0,0,0,0,3.588958084,-7.358441199,0,0.03280978034,0.06786838937,0.01334092555,0.08301774896,0.06849009941,0.1166087253
0,0,0,0,-3.850889263,0,6.310793487,0,9.591371765,0,0,0,0,3.588958084,-6.866508441,0,0.08958171728,0.02731881853,0.00479657742,0.08301774896,0.06442752451,0.08120149591
0,0,0,0,0,0,6.310793487,0,9.591371765,0,0,0,0,3.588958084,-7.358441199,0,0.03346792021,0.03714127697,0.028131881,0.08301774896,0.06849009941,0.1059272745
0,0,0,0,0.7387192161,0.5198135382,5.756752248,-4.930408854,-7.322121881,0,-4.518024866,9.307742074,8.705461667,0,0,0,0.00321272218,0.07635688138,0.08454552833,0.08884514559,0.1366054927,0.0327958676
0,0,0,0,0,0,4.694208227,-4.79690178,-8.012405683,0,0,3.843575312,9.357436392,0,0,0,0.01738163902,0.02334431305,0.0669475378,0.06288897134,0.09339980215,0.03375870201
0,0,0,0,0,0,5.431707545,-4.325531636,0,0,-0.6749517816,3.877038888,9.860383676,0,0,0,0.006837440261,0.005319748447,0.006737515905,0.1025682523,0.1003648273,0.03259024033
0,0,0,0,0,2.569292408,5.869531764,-5.756770543,0,0,0,2.407430335,9.446795456,0,0,0,0.001441748229,0.07541840501,0.05368903673,0.105612943,0.1126432999,0.03257903523
0,0,0,0,0,0,6.865194452,0,9.096154533,0,0,0,0,2.951055403,-7.412450252,0,0.05264347176,0.05399600544,0.004320743197,0.08230715792,0.07193416351,0.04552983272
0,0,0,0,0,0,5.221675527,0,9.044555195,0,0,0,0,3.728960007,-8.085180177,0,0.07044227766,0.09467586476,0.003134309319,0.0897215344,0.0694779278,0.1092205115
0,0,0,0,0,0,4.189039066,-4.420677222,-1.59959127,0,0,2.954937625,9.384616379,0,0,0,3.3614223685918265*^-6,0.04383835961,0.0006021376579,0.03714428788,0.08287843001,0.03128159562
0,0,0,0,0,0.5834871816,5.935370175,-5.385987389,1.790384753,0,-4.883507434,9.395012911,8.779174397,0,0,0,0.005571808727,0.0144287824,0.09937549643,0.1224972414,0.1219253153,0.03270549091
0,0,0,0,-8.45587201,0,7.548205351,0,9.05754023,0,0,0,0,3.510845015,-8.763680005,0.9249999336,0.043227144,0.06236439896,0.007803096555,0.08264366609,0.0607237271,0.135391474
0,0,0,0,0,0,5.431707545,-4.309755305,0,0,-0.6713885072,3.877038888,9.445247363,0,0,0,0.01185437063,0.05840365384,0.06322807176,0.03727439095,0.1003648273,0.03396294558
0,0,0,0,0,0,4.164151978,-4.79690178,-4.084788632,0,0,4.125473729,9.281009988,0,0,0,0.005202680159,0.03133124658,0.01511245079,0.05728503015,0.08190993878,0.03753645931
