"","MM","AM","BM","CM","MA","AA","BA","CA","MB","AB","BB","CB","MC","AC","BC","CC"
"49",0,0,0,0,0,0,5.431707545,-4.309755305,0,0,-0.6713885072,3.877038888,9.445247363,0,0,0
"50",0,0,0,0,0,0,4.164151978,-4.79690178,-4.084788632,0,0,4.125473729,9.281009988,0,0,0
"51",0,0,0,0,0,0,5.431707545,-4.309755305,0,0,-0.6713885072,3.877038888,9.445247363,0,0,0
"52",0,0,0,0,-7.238833245,0,0,7.029036835,0,4.284850941,0,-8.13967787,8.387070717,0,0,0
"53",0,0,0,0,-5.444948138,0,0,1.024662333,0,-5.48997252,0.06019107272,5.622638303,8.685239319,0,0,0
"54",0,0,0,0,-5.509278858,0,0,1.024662333,1.915351873,-5.48997252,0,5.622638303,8.685239319,0,0,0
"55",0,0,0,0,-6.117060298,0,0,7.074736914,0,4.044726283,0.1481083814,-7.569953497,8.387070717,0,0,0
"56",0,0,0,0,-3.98826696,0,0,0.9802740479,0,-7.753798069,0,8.227992746,8.378331184,0,0,0
"57",0,0,0,0,-7.892629106,0,0,0.7641540503,0,-4.726351394,0,3.763670964,9.903676628,0,0,0
"58",0,0,0,0,-9.886137781,0,0,7.43086085,0,4.766617817,0,-6.629309052,8.808658066,0,0,0
"59",0,0,0,0,-5.614249751,0,0,0.9724026917,0,-9.946113489,0,8.445842239,8.676654178,0,0,0
"60",0,0,0,0,0,-2.328498175,5.206446217,0,9.425112063,0,0,0,4.679542187,7.190324809,-9.013324095,1.632802747
"61",0,0,0,0,-8.299027168,-0.6922369356,0,7.086073449,0,4.042099777,0,-3.716039743,9.136966237,0,0,0
"62",0,0,0,0,-4.925314621,0,0,0.9802740479,0,-9.176617617,0,7.25466348,8.676654178,0,0,0
"63",0,0,0,0,0,0.6116753705,4.327388027,-9.649249938,0,0,0.1240761679,4.445035051,9.379853603,0,0,0
"64",0,0,0,0,0,2.039711271,3.07295302,-8.365371962,0,0,-0.3303669212,5.883262058,9.339280661,0,0,0
"65",0,0,0,0,0,0,-7.689434703,5.463956745,9.46905692,0,0,0,-7.935368774,0,5.021337368,0
"66",0,0,0,0,8.72095427,0,0,2.270761178,0,4.539599831,0,-7.663227348,8.747750751,0,0,0
"67",0,0,0,0,8.72095427,0,0,2.270761178,0,4.539599831,0,-6.273474772,8.747750751,0,0,0
"68",0,0,0,0,8.082979979,0,0,3.494707792,0,4.566743017,0,-7.663227348,8.507703516,0,0,0
"69",0,0,0,0,7.423112896,0,0,0,0,-9.130108606,0,3.310686015,3.419035656,3.572124769,0,0
"70",0,0,0,0,7.025611585,0,0,0,0,-6.721468342,0,1.946926031,4.416776949,4.317132352,0,0
"71",0,0,0,0,8.902540976,0,0,0,0,-7.478265316,-0.7595874128,8.557394079,-4.85644337,3.506071722,0,0
"72",0,0,0,0,8.913404358,0,0,0,0,-8.413844216,0,7.713153015,0,2.551455103,0,0
"73",0,0,0,0,8.902540976,0,0,0,0,-7.819973134,0,8.890546707,-5.777699987,3.435355562,0,0
"74",0,0,0,0,7.373613041,0,0,0,0,-8.510450975,0,3.213075037,5.754415855,3.192331858,0,0
"75",0,0,0,0,8.902540976,0,0,0,-7.498834936,-7.478265316,0,9.145069183,-6.958087661,3.506071722,0,0
"76",0,0,0,0,8.600088371,0,0,0,0,-7.478265316,-0.7595874128,8.292366781,-3.509146808,3.270017209,0,0
"77",0,0,0,0,0,-2.127968123,5.54197373,0,9.164523727,0,0,0,0,7.09224889,-8.6171325,1.212164872
"78",0,0,0,0,0,0.4960991475,4.245807041,-8.743408082,0,0,0,4.893600405,9.598630535,0,0,0
"79",0,0,0,0,0,0,-7.622536932,3.556012221,9.799928577,0,0,0,0,0,5.088713003,0
"80",0,0,0,0,0,0,-7.768082245,3.926024856,9.800488891,0,0,0,-7.358487301,0,6.738294306,0
"81",0,0,0,0,0,0,3.730054778,0,9.125324748,0,0,0,0,7.264029342,-9.158420785,0
"82",0,0,0,0,0,0,-8.214790811,4.372164799,9.682948333,0,0,0,4.401401183,0,4.01870434,0
"83",0,0,0,0,-6.349517482,0,6.870109765,0,9.077429023,0,0,0,9.988937869,3.933030902,-7.18470302,0
"84",0,0,0,0,0,3.030419522,3.201218121,-9.881739325,3.243112035,0,0,4.795639638,9.246998614,0,0,0
"85",0,0,0,0,0,0,4.968021406,-8.243278422,3.877370484,0,0,5.233661676,9.513538978,0,0,0
"86",0,0,0,0,0,0.6116753705,4.13756502,-8.864925253,0,0,0,4.626469852,9.533689349,0,0,0
"87",0,0,0,0,0,0,-7.825675967,3.159661137,9.246743971,0,0,0,0,0,5.123562644,0
"88",0,0,0,0,0,0.3677209009,-8.193060165,4.584200903,9.909258846,0,0,0,0,0,4.28292328,0
"89",0,0,0,0,0,0,-7.687383938,3.556012221,9.831829694,0,0,0,0,0,4.557270599,0
"90",0,0,0,0,0,0,-6.053784279,3.828039061,9.46905692,0,0,0,-7.765990963,0,5.378915981,0
"91",0,0,0,0,0,0,-7.031996404,4.270844183,9.46905692,0,0,0,-5.578726634,0,5.17230339,0
"92",0,0,0,0,-9.744756115,0,0,6.668962932,0,4.117315262,0,-4.007477962,9.044325375,0,0,0
"93",0,0,0,0,0,0,-9.84664835,4.584200903,9.682948333,0,0,0,2.927533287,0,4.01870434,0
"94",0,0,0,0,0,-0.2799403641,8.65339147,0,9.096154533,0,0,0,0,2.603546653,-9.182917602,0
"95",0,0,0,0,0,-0.2799403641,8.7412444,0,9.096154533,0,0,0,0,2.603546653,-7.749544379,0
"96",0,0,0,0,-9.302195638,0,4.586088128,-6.429207146,-5.185979468,0,0,8.775450299,8.563952615,0,0,0
"97",0,0,0,0,0,-1.253070789,0,8.418080361,-9.075052294,3.930842099,0,-4.352349968,8.858395709,0,0,0
"98",0,0,0,0,4.543040124,0,3.451754849,0,8.881416195,0,0,0,0,6.327863673,-7.331308225,0
"99",0,0,0,0,8.753719165,0,0,2.629139917,1.928480006,4.414659499,0,-7.565335486,6.963322318,0,0,0
"100",0,0,0,0,0.1321782949,0,6.904842474,0,9.096154533,0,0,0,0,2.951055403,-7.412450252,0
"101",0,0,0,0,5.988010025,0,4.307167784,0,8.746348121,0,0,0,0,5.85510521,-9.236360756,0
"102",0,0,0,0,7.93585697,0,0,2.629139917,0,4.414659499,0.3326056485,-8.079331806,6.993088182,0,0,0
"103",0,0,0,0,9.697322893,0,0,2.490363059,0,5.60951103,0,-9.372581175,6.830913589,0,0,0
"104",0,0,0,0,7.511811611,0,0,2.521701781,0,4.891994552,0.4900158223,-7.921138706,7.093821776,0,0,0
"105",0,0,0,0,9.356424774,0,0,2.973834262,0,4.777371341,0,-8.815506466,6.830913589,0,0,0
"106",0,0,0,0,8.084099066,0,0,2.720974594,0,4.891994552,0,-8.234968566,7.093821776,0,0,0
"107",0,0,0,0,9.939627217,-0.7643894329,0,0,0,-8.531124945,0.7177822258,1.765968543,0,5.79444688,0,0
"108",0,0,0,0,8.27414345,-0.8094358455,0,0,-9.525247982,-9.129685623,0.9139984335,2.026579756,7.814345894,4.660997024,0,0
"109",0,0,0,0,0,0,0,4.906085318,0,6.288116717,0,-7.449951886,7.733793984,0,0,0
"110",0,0,0,0,0,0,5.148094498,0,8.786060592,0,0,0,0,5.231186138,-8.351186773,0.6421039152
"111",0,0,0,0,0,0,6.870109765,0,9.077429023,0,0.02105160888,0,0,4.308243114,-7.18470302,0
"112",0,0,0,0,-7.319472059,0,7.548205351,0,9.05754023,0,0,0,0,3.510845015,-7.734955001,0
"113",0,0,0,0,0,0,3.997263294,-4.954395516,0,0,0,3.194279703,9.258376804,0,0,0
"114",0,0,0,0,0,0.8260934456,4.327388027,-9.615283525,0,0,0,4.445035051,9.379853603,0,0,0
"115",0,0,0,0,0,3.547877749,3.07295302,-8.365371962,4.134004427,0,-0.3303669212,4.31103162,9.435054248,0,0,0
"116",0,0,0,0,0,0.6605515826,-5.547472075,2.857687449,9.64858264,0,0,0,0,0,2.743250417,0
"117",0,0,0,0,0,0,-9.431081625,4.54235723,9.909258846,0,0,0,0,0,4.540778093,0
"118",0,0,0,0,0,0,-7.687383938,3.926024856,9.831829694,0,0,0,0,0,4.615157788,0
"119",0,0,0,0,0,2.089541407,-5.482081863,2.772587889,9.234313612,0,0,0,0,0,2.767470931,0
"120",0,0,0,0,0,0.629260748,-2.506423869,2.393192911,9.910178997,0,0,0,-6.111613683,0,2.997564449,0
"121",0,0,0,0,0,0.3762090595,-4.265108452,2.311936266,9.494526864,0,0,0,-2.238138481,0,3.98890871,0
